127.0.0.1 - - [24/Jun/2017:12:06:06 +0530] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [24/Jun/2017:12:18:23 +0530] "GET /ChatBoxRestService/ HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [24/Jun/2017:12:29:38 +0530] "GET /ChatBoxRestService/202 HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [24/Jun/2017:12:30:18 +0530] "GET /ChatBoxRestService/getjobuserid/202 HTTP/1.1" 500 15609
0:0:0:0:0:0:0:1 - - [24/Jun/2017:12:47:52 +0530] "GET /ChatBoxRestService/getjobuserid/202 HTTP/1.1" 500 15609
0:0:0:0:0:0:0:1 - - [24/Jun/2017:12:50:01 +0530] "GET /ChatBoxRestService/getjobuserid/202 HTTP/1.1" 500 15609
0:0:0:0:0:0:0:1 - - [24/Jun/2017:12:55:15 +0530] "GET /ChatBoxRestService/getjobuserid/202 HTTP/1.1" 500 15609
0:0:0:0:0:0:0:1 - - [24/Jun/2017:13:01:21 +0530] "GET /ChatBoxRestService/getjobuserid/202 HTTP/1.1" 500 15609
0:0:0:0:0:0:0:1 - - [24/Jun/2017:13:01:23 +0530] "GET /ChatBoxRestService/getjobuserid/202 HTTP/1.1" 500 15609
0:0:0:0:0:0:0:1 - - [24/Jun/2017:13:03:22 +0530] "GET /ChatBoxRestService/getjobuserid/76 HTTP/1.1" 500 15609
