127.0.0.1 - - [02/Aug/2017:22:40:34 +0530] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:42 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/lib/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/lib/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/lib/fileupload.js HTTP/1.1" 200 84159
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 200 3747
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 200 3296
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Friend/FriendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Friend/FriendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:40:43 +0530] "GET /ChatBoxFrontEnd/Chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:41:04 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [02/Aug/2017:22:41:05 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
