0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Blog/BlogController.js HTTP/1.1" 200 3859
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/lib/stomp.js HTTP/1.1" 200 16721
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Job/JobController.js HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Job/JobService.js HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Blog/BlogService.js HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Forum/ForumService.js HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Friend/FriendService.js HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/lib/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Chat/ChatController.js HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Friend/FriendController.js HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Event/EventService.js HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Forum/ForumController.js HTTP/1.1" 200 2072
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Chat/ChatService.js HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:53 +0530] "GET /ChatBoxFrontEnd/Event/EventController.js HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:55 +0530] "GET /ChatBoxFrontEnd/User/Footer.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:55 +0530] "GET /ChatBoxFrontEnd/User/Home.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:55 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 200 2240
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:55 +0530] "GET /ChatBoxFrontEnd/User/register.html HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:44:57 +0530] "GET /ChatBoxFrontEnd/img/chat1.png HTTP/1.1" 200 166005
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:46:04 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:46:07 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Sep/2017:19:46:35 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 404 1034
