0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:12 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:24 +0530] "GET /ChatBoxFrontEnd/Friend/AllFriend.html HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:29 +0530] "GET /ChatBoxRestService/getallmyfrnds/11 HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:29 +0530] "GET /ChatBoxFrontEnd/Friend/MyFriends.html HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:30 +0530] "GET /ChatBoxRestService/getallmyfrnds/11 HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:40 +0530] "GET /ChatBoxRestService/logout HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:50 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:50 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:01:50 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:15 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:15 +0530] "GET /ChatBoxFrontEnd/App.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:15 +0530] "GET /ChatBoxFrontEnd/User/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:15 +0530] "GET /ChatBoxFrontEnd/User/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:16 +0530] "GET /ChatBoxFrontEnd/User/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:33 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:42 +0530] "GET /ChatBoxRestService/getallmyfrnds/21 HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [23/Aug/2017:00:07:42 +0530] "GET /ChatBoxRestService/getallmyfrnds/21 HTTP/1.1" 200 694
