0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:20:13 +0530] "GET /ChatBoxFrontEnd/img/chat1.png HTTP/1.1" 200 166005
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:24:55 +0530] "GET /ChatBoxFrontEnd/resources/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:08 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:08 +0530] "GET /ChatBoxFrontEnd/User/AfterLogin.html HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:08 +0530] "GET /ChatBoxFrontEnd/img/social.png HTTP/1.1" 200 95528
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:08 +0530] "GET /ChatBoxFrontEnd/User/UserProfile.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:10 +0530] "GET /ChatBoxFrontEnd/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:28 +0530] "GET /ChatBoxFrontEnd/Job/AllJobs.html HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:28 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:31 +0530] "GET /ChatBoxFrontEnd/Job/UserByJob.html HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:31 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:31 +0530] "GET /ChatBoxRestService/getuserbyjobId/5 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:36 +0530] "GET /ChatBoxFrontEnd/Job/EditUserByJobProfile.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:36 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:44 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:44 +0530] "GET /ChatBoxRestService/getuserbyjobId/5 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:25:48 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
